"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 06, 2010","10,651.1","10,886.2","10,907.3","10,576.5","166.73M","-2.16%"
"Aug 09, 2010","10,812.6","10,802.8","10,831.2","10,764.8","106.32M","0.09%"
"Aug 10, 2010","10,718.5","10,757.3","10,801.9","10,673.9","117.52M","-0.36%"
"Aug 11, 2010","10,374.8","10,631.9","10,688.1","10,336","208.22M","-2.42%"
"Aug 12, 2010","10,342.4","10,335","10,432.4","10,259.7","173.58M","0.07%"
"Aug 13, 2010","10,275.8","10,438.4","10,448.2","10,201.6","165.48M","-1.56%"
"Aug 16, 2010","10,258.3","10,284.5","10,335.7","10,143.7","119.64M","-0.25%"
"Aug 17, 2010","10,369.5","10,283.7","10,380.5","10,203.9","138.75M","0.83%"
"Aug 18, 2010","10,391","10,322.8","10,411.9","10,250.9","107.46M","0.66%"
"Aug 19, 2010","10,238","10,441","10,538.2","10,225.6","175.87M","-1.94%"
"Aug 20, 2010","10,094.3","10,220.9","10,302.6","10,018.7","154.42M","-1.24%"
"Aug 23, 2010","10,221.2","10,117.1","10,306.2","10,087.7","119.94M","1.03%"
"Aug 24, 2010","10,052.3","10,129.5","10,140.7","9,954.8","157.98M","-0.76%"
"Aug 25, 2010","9,894","10,034.7","10,088.7","9,773.8","186.3M","-1.4%"
"Aug 26, 2010","10,004.4","9,992.8","10,056.4","9,934.8","138.04M","0.12%"
"Aug 27, 2010","10,148.2","9,951.3","10,164.8","9,938.1","148.17M","1.98%"
"Aug 30, 2010","10,136","10,201.5","10,211.6","10,097.7","74.5M","-0.64%"
"Aug 31, 2010","10,187","9,980.9","10,187","9,964.2","181.13M","2.06%"
"Sep 01, 2010","10,544.8","10,232.7","10,544.8","10,170.1","200.28M","3.05%"
"Sep 02, 2010","10,537.6","10,513.9","10,578.6","10,467.7","148.75M","0.23%"
"Sep 03, 2010","10,599.4","10,556.9","10,708.8","10,503.1","180.73M","0.4%"
"Sep 06, 2010","10,622.7","10,678.8","10,678.9","10,597.9","79.13M","-0.53%"
"Sep 07, 2010","10,479.1","10,579.2","10,592.4","10,410.3","145.89M","-0.95%"
"Sep 08, 2010","10,586.2","10,449.1","10,609.4","10,420","147.37M","1.31%"
"Sep 09, 2010","10,712.9","10,547.3","10,773.6","10,497.9","186.43M","1.57%"
"Sep 10, 2010","10,689.6","10,642.7","10,725","10,622.7","140.77M","0.44%"
"Sep 13, 2010","10,765.2","10,775.7","10,831.2","10,734","154.16M","-0.1%"
"Sep 14, 2010","10,806.6","10,759.9","10,835","10,689.9","161.44M","0.43%"
"Sep 15, 2010","10,751.8","10,846","10,846.5","10,670","146.18M","-0.87%"
"Sep 16, 2010","10,716.8","10,741.8","10,787.6","10,703.5","133.92M","-0.23%"
"Sep 17, 2010","10,588.6","10,799.6","10,839.7","10,544.4","313.05M","-1.95%"
"Sep 20, 2010","10,743.1","10,622.1","10,751.3","10,569.1","173.25M","1.14%"
"Sep 21, 2010","10,762.5","10,718.2","10,902.5","10,718.1","213.9M","0.41%"
"Sep 22, 2010","10,555.2","10,803.9","10,805.5","10,511.9","220.4M","-2.3%"
"Sep 23, 2010","10,501.5","10,652.8","10,653.5","10,401.8","229.66M","-1.42%"
"Sep 24, 2010","10,727.6","10,456.9","10,748.4","10,418.4","234.78M","2.59%"
