"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 17, 2004","1.16","1.18","1.18","1.16","-0","-1.64%"
"Nov 18, 2004","1.17","1.16","1.17","1.16","0","0.24%"
"Nov 19, 2004","1.16","1.17","1.17","1.16","-0","-1.19%"
"Nov 22, 2004","1.16","1.16","1.16","1.16","0","-0.21%"
"Nov 23, 2004","1.15","1.16","1.17","1.16","-0","-0.76%"
"Nov 24, 2004","1.14","1.16","1.16","1.14","-0","-1.54%"
"Nov 25, 2004","1.14","1.14","1.15","1.14","-0","-0.83%"
"Nov 26, 2004","1.13","1.14","1.15","1.13","-0","-0.61%"
"Nov 29, 2004","1.14","1.14","1.15","1.14","0","-0.35%"
"Nov 30, 2004","1.13","1.14","1.15","1.13","-0","-0.63%"
"Dec 01, 2004","1.13","1.14","1.15","1.13","0","-0.48%"
"Dec 02, 2004","1.15","1.14","1.16","1.14","0","0.51%"
"Dec 03, 2004","1.13","1.15","1.15","1.13","-0","-2.23%"
"Dec 06, 2004","1.14","1.13","1.14","1.13","0","0.42%"
"Dec 07, 2004","1.13","1.14","1.14","1.13","-0","-0.48%"
"Dec 08, 2004","1.14","1.14","1.16","1.14","0","0.24%"
"Dec 09, 2004","1.14","1.15","1.16","1.15","0","-0.37%"
"Dec 10, 2004","1.16","1.15","1.17","1.15","0","0.52%"
"Dec 13, 2004","1.15","1.16","1.16","1.15","-0","-1.24%"
"Dec 14, 2004","1.15","1.15","1.16","1.15","0","-0.42%"
"Dec 15, 2004","1.14","1.15","1.16","1.14","-0","-1.43%"
"Dec 16, 2004","1.15","1.14","1.16","1.14","0","0.91%"
"Dec 17, 2004","1.15","1.16","1.16","1.15","-0","-0.62%"
"Dec 20, 2004","1.14","1.15","1.16","1.15","-0","-0.98%"
"Dec 21, 2004","1.15","1.15","1.15","1.15","0","-0.09%"
"Dec 22, 2004","1.15","1.15","1.16","1.15","-0","-0.52%"
"Dec 23, 2004","1.14","1.15","1.15","1.14","-0","-1.24%"
"Dec 24, 2004","1.14","1.14","1.15","1.14","-0","-0.48%"
"Dec 27, 2004","1.13","1.14","1.15","1.13","-0","-1.09%"
"Dec 28, 2004","1.13","1.13","1.14","1.13","-0","-0.58%"
"Dec 29, 2004","1.13","1.13","1.14","1.13","-0","-0.41%"
"Dec 30, 2004","1.13","1.13","1.14","1.13","-0","-0.56%"
"Dec 31, 2004","1.13","1.13","1.14","1.13","0","0.1%"
"Jan 03, 2005","1.14","1.14","1.16","1.14","0","0.22%"
"Jan 04, 2005","1.16","1.15","1.17","1.14","0","1.35%"
"Jan 05, 2005","1.16","1.17","1.18","1.16","-0","-0.35%"
"Jan 06, 2005","1.17","1.17","1.18","1.17","0","0.05%"
"Jan 07, 2005","1.18","1.17","1.19","1.17","0","0.41%"
"Jan 10, 2005","1.18","1.18","1.19","1.18","-0","-0.67%"
"Jan 11, 2005","1.18","1.18","1.18","1.17","0","-0.4%"
"Jan 12, 2005","1.16","1.18","1.18","1.16","-0","-1.78%"
"Jan 13, 2005","1.17","1.17","1.17","1.17","0","-0.11%"
"Jan 14, 2005","1.17","1.17","1.19","1.17","0","0.25%"
"Jan 17, 2005","1.18","1.18","1.18","1.18","0","-0.21%"
"Jan 18, 2005","1.18","1.18","1.19","1.18","0","-0.32%"
"Jan 19, 2005","1.18","1.18","1.19","1.17","0","-0.33%"
"Jan 20, 2005","1.18","1.19","1.19","1.18","0","-0.15%"
"Jan 21, 2005","1.18","1.19","1.2","1.18","-0","-0.84%"
"Jan 24, 2005","1.18","1.19","1.19","1.18","-0","-0.63%"
"Jan 25, 2005","1.19","1.18","1.2","1.18","0","0.36%"
"Jan 26, 2005","1.18","1.19","1.19","1.18","-0","-1.27%"
"Jan 27, 2005","1.18","1.18","1.19","1.18","0","-0.29%"
"Jan 28, 2005","1.18","1.18","1.19","1.18","0","-0.33%"
"Jan 31, 2005","1.18","1.19","1.19","1.18","0","-0.32%"
"Feb 01, 2005","1.18","1.19","1.2","1.19","0","-0.33%"
"Feb 02, 2005","1.19","1.19","1.2","1.19","0","-0.36%"
"Feb 03, 2005","1.2","1.19","1.21","1.19","0","0.31%"
"Feb 04, 2005","1.2","1.2","1.21","1.19","0","0.28%"
"Feb 07, 2005","1.22","1.21","1.23","1.21","0","0.52%"
"Feb 08, 2005","1.21","1.22","1.23","1.22","-0","-0.72%"
